,대단원,중단원,소단원,로그라인 (핵심 질문 / 한 줄 스토리),분과,,,
,,4-3) 파동 — 에너지의 전달,파동과 진동,파동의 성질 — 간섭·회절·공명·도플러 효과. 소리부터 지진파까지.,물리,,,
,,4-4) 열과 엔트로피,A. 열평형과 에너지 보존,열역학 제0법칙(열평형)과 제1법칙(에너지 보존 법칙),물리,,,
,,,B. 엔트로피,"열역학 제2법칙(엔트로피 증가의 법칙), 제3법칙·시간의 화살 — 변화의 방향.",물리,,,
,,,C. 화학 반응과 에너지,반응 엔탈피·결합 에너지·헤스의 법칙. 발열·흡열 반응과 자유에너지.,화학,,화학 반응과 에너지 - 결합이 끊기고 맺어질 때,
,,4-5) 화학 반응의 법칙,A. 반응 속도,충돌 이론·활성화 에너지·속도 법칙. 반응이 얼마나 빠르게 일어나는가.,화학,,반응 속도 - 다이아몬드는 왜 흑연이 되지 않는가,
,,,B. 반응 메커니즘,반응이 실제로 어떤 단계를 거쳐 일어나는가 — 중간체와 전이 상태.,화학,,,
,,,C. 촉매,활성화 에너지 문턱을 낮추는 물질 — 산업 촉매에서 생체 효소까지.,화학,,,
,,4-6) 반응의 방향성,A. 화학 반응의 자발성,자유에너지(ΔG)가 반응의 자발성을 결정한다. 엔탈피와 엔트로피의 경쟁.,화학,,,
,,,B. 평형의 개념,정방향과 역반응이 공존하는 동적 평형 — 정지가 아닌 균형.,화학,,,
,,,C. 평형 상수,평형 상태를 수식으로 표현하고 예측하는 방법 — K와 Q의 관계.,화학,,,
,,4-7) 산·염기와 산화·환원,A. 산-염기 반응,양성자를 주고받는 반응. 위산이 소화하고 바다가 완충하는 이 원리가 왜 일어나는가.,화학,,,
,,,B. 산화-환원 반응,전자를 주고받는 반응 — 불·부식·배터리·세포 호흡의 공통 원리.,화학,,,
,"5.
 빛과 전자기 — 정보의 언어",5-1) 전기,A. 쿨롱 법칙과 전기장,전하·쿨롱 법칙·전기장·전위.,물리,,,
,,,B. 전류,전류·저항·회로. 전기가 에너지를 운반하는 방식.,물리,,,
,,5-2) 자기,A. 자기력과 자기장,자기력·자기장.,물리,,,
,,,B. 앙페르 법칙,전류가 자기장을 만드는 원리.,물리,,,
,,5-3) 전자기 유도,A. 전자기 유도,패러데이 법칙·렌츠 법칙.,물리,,,
,,,B. 발전기와 변압기,발전기·변압기·무선 충전의 원리.,물리,,,
,,"
5-4) 전자기파와 빛",A. 맥스웰 방정식과 전자기파,맥스웰 방정식에서 탄생한 전자기파. 라디오파→감마선 전자기 스펙트럼. ,물리,,,
,,,B. 빛의 파동성,빛의 반사·굴절·회절.,물리,,,
,,5-5) 빛으로 우주를 읽다,측광과 분광,분광학으로 별의 성분·온도·속도를 안다. 도플러 효과·적색편이·우주 팽창.,천문,,,
,"6.
 지구 — 살아있는 행성","6-1) 태양계와 지구의 탄생
-왜 이 행성인가",A. 외계행성,케플러·JWST가 발견한 수천 개의 외계행성. 거주 가능 구역 — 지구는 얼마나 특별한가.,천문,,,
,,,B. 태양계 천체,태양계의 행성·위성·소행성·혜성. 비교행성학으로 지구의 특수성을 이해한다.,천문,,,
,,,C. 행성지질학,화성·금성·달의 지질 — 다른 행성 연구가 지구 역사를 이해하게 한다.,지구환경,,,
,,,D. 우주생명현상,생명 탄생의 조건. 성간 유기 분자·유로파·엔켈라두스 — 태양계 안의 생명 가능성.,천문,,,
,,6-2) 지구시스템,A. 지구시스템(개관),지권·수권·기권·생물권이 상호작용하는 하나의 시스템으로서의 지구.,지구환경,,,
,,,B. 권역간 상호작용,탄소·물·질소 순환. 각 권역이 서로 어떻게 영향을 주고받는가.,지구환경,,,
,,6-3) 지구 내부와 판구조,A. 고체지구의 물성,지구 내부 구조 — 핵·맨틀·지각의 물리적 성질.,지구환경,,,
,,,B. 화산: 지구 물질 순환의 통로,맨틀 대류와 화산. 지구 내부 물질이 표면으로 나오는 과정.,지구환경,,,
,,,C. 지진 및 지구물리,판구조론과 지진. 지구는 지금도 움직이고 있다.,지구환경,,,
,,6-4) 대기와 날씨,A. 지구와 대기,대기의 층상 구조·조성·에너지 수지. 온실효과의 원리.,지구환경,,,
,,,B. 대기의 순환,열과 자전이 만드는 대기 순환. 무역풍·편서풍·제트류.,지구환경,,,
,,,C. 일기 분석과 예측,기압·전선·카오스 — 날씨를 예측한다는 것의 과학적 의미.,지구환경,,,
,,6-5) 해양,A. 해저 지형과 자원,해저 지형과 지질 — 판구조론의 가장 강력한 증거가 바다에 있다.,지구환경,,,
,,,B. 해양의 순환과 규칙적 리듬,해류와 조석 — 열과 염분이 만드는 바다의 대순환.,지구환경,,,
,,,C. 해수의 성분과 탄소 및 산소 순환,바닷물의 화학 조성. 해양의 탄소 흡수와 산성화.,지구환경,,,
,,,D. 해양의 생명과 생태계,해양 생태계의 구조. 식물플랑크톤이 지구 산소의 절반을 만든다.,지구환경,,,
,,6-6) 지구의 진화,A. 지구의 기록,암석·화석·동위원소가 기록한 46억 년. 지질 연대표.,지구환경,,,
,,,B. 고기후와 고환경,빙하코어·꽃가루·동위원소로 복원하는 과거 기후 — 미래 예측의 기반.,지구환경,,,
,,6-7) 용액의 화학,A. 용액의 성질,용해 원리·농도·증기압 내림·끓는점 오름·어는점 내림.,화학,,,용액의 화학 단원 위치 검토중
,,,B. 용액이 촉발하는 변화,용액 상태에서 일어나는 특별한 화학 변화들.,화학,,,
,,,C. 콜로이드,용액도 아니고 침전도 아닌 — 콜로이드의 틴들 효과와 특별한 성질.,화학,,,
,,,D. 수용액 반응,물 속에서 일어나는 이온 반응. 침전·중화·산화환원.,화학,,,
,,,E. 수용액 평형,약산·약염기·완충용액 — 생명과 환경을 유지하는 수용액 평형.,화학,,,
,"7.
 생명 — 진화하는 정보",7-1) 생명의 화학,A. 생물 정의,생명이란 무엇인가 — 자기 복제·물질대사·항상성이 생명의 조건.,생명,,,
,,,B. 생체 구성 원자,생명체는 어떤 원소로 만들어지는가. CHONPS의 특별함.,생명,,,
,,,C. 생명과 물,물의 극성·수소 결합·비열·용매 특성 — 생명이 물을 필요로 하는 모든 이유.,생명,,생명과 물 — 휜 분자 하나가 만든 모든 것,
,,,D. 생체 거대분자,단백질·핵산·탄수화물·지질 — 생명의 네 가지 거대분자.,생명,,,
,,,E. 유기화학,탄소 화합물의 세계. 작용기·이성질체 — 생명 분자의 화학적 기반.,화학,,,
,,,F. 생화학,생명체 안에서 일어나는 화학 반응들. 대사 경로의 논리.,화학,,,
,,7-2) 세포 — 생명의 최소 단위,A. 생체막,인지질 이중층·막단백질 — 세포막이 안과 밖을 구분하고 소통하는 방식.,생명,,,
,,,B. 세포 구조,원핵·진핵 세포의 구조. 소기관들의 기능 분담.,생명,,세포 구조 — 막 안에서 벌어진 일들,
,,7-3) 에너지와 물질대사,A. 에너지와 효소,ATP·자유에너지·효소의 작용 원리. 생명의 에너지 통화.,생명,,에너지와 효소 — 생명의 두 도구,
,,,B. 광합성,빛에너지→화학에너지. 명반응·캘빈 회로 — 태양에서 생명으로.,생명,,,
,,,C. 세포 호흡과 발효,포도당→ATP. 해당과정·TCA 회로·전자전달계 — 생명의 에너지 회수.,생명,,,
,,7-4) 유전 정보,A. DNA와 유전자,이중 나선의 구조·염기쌍·유전 정보의 저장 방식.,생명,,,
,,,B. 유전 발현과 조절,DNA→RNA→단백질. 전사·번역·유전자 발현의 조절 메커니즘.,생명,,,
,,,C. DNA 기술,PCR·유전자 편집(CRISPR)·유전체 분석 — 생명공학의 현재.,생명,,,
,,7-5) 세포분열과 유전,A. 체세포분열,세포 주기와 유사분열. 성장·재생·암의 원리.,생명,,,
,,,B. 감수분열,생식세포 형성과 유전적 다양성의 기원.,생명,,,
,,,C. 유전 패턴,멘델 유전에서 연관·교차·복잡 유전까지.,생명,,,
,,7-6) 진화 — 생명의 변화 엔진,A. 진화의 힘,자연선택·돌연변이·유전자 부동·유전자 흐름 — 종이 변하는 메커니즘.,생명,,,
,,,B. 종분화,지리적 격리·생식 격리 — 하나의 종이 두 종이 되는 과정.,생명,,,
,,,C. 생물 다양성,생물 다양성의 기원과 가치. 여섯 번째 대멸종의 시대.,생명,,,
,,7-7) 생물의 다양성,A. 바이러스,"살아있는가, 살아있지 않은가 — 경계에 있는 존재.",생명,,,
,,,B. 원핵 생물,핵이 없는 세포 — 지구 최초의 생명이자 생태계의 핵심.,생명,,,
,,,C. 진핵 생물,핵을 가진 세포의 등장 — 복잡한 생명의 시작.,생명,,,
,,7-8) 식물,A. 식물 구조,뿌리·줄기·잎·관다발 — 광합성 생명체의 몸.,생명,,,
,,,B. 식물 생식,꽃·씨앗·포자 — 식물의 번식 전략과 세대 교번.,생명,,,
,,,C. 식물 신호,빛·중력·접촉에 반응하는 식물 — 호르몬이 조절하는 식물의 반응.,생명,,,
,,7-9) 동물의 생리,A. 소화,음식이 에너지와 영양소로 변하는 여정.,생명,,,
,,,B. 순환,심장과 혈관 — 물질을 온몸에 나르는 순환 시스템.,생명,,,
,,,C. 호흡,산소를 얻고 이산화탄소를 내보내는 과정.,생명,,,
,,,D. 배설,노폐물 제거로 항상성을 유지한다.,생명,,,
,,,E. 면역,선천 면역과 후천 면역 — 병원체로부터 몸을 지키는 정교한 방어 시스템.,생명,,,
,,,F. 신경,뉴런·시냅스·신경계 — 신호를 전달하고 처리하는 방식.,생명,,,
,,,G. 내분비,호르몬 — 몸 전체를 조율하는 화학 신호 시스템.,생명,,,
,,,H. 발생과 성장,수정란 하나에서 복잡한 개체가 되는 과정 — 유전자 발현의 정교한 시간적 조절.,생명,,,
,,,I. 노화와 죽음,생명체는 왜 늙고 죽는가 — 노화의 분자 메커니즘과 진화적 의미.,생명,,,
,,7-10) 생태계,A. 개체군과 군집,같은 종의 집단과 다른 종의 공존 — 경쟁·포식·공생의 원리.,생명,,,
,,,B. 행동 생태,동물의 행동은 어떻게 진화했는가 — 이타성·의사소통·짝짓기 전략.,생명,,,
,,,C. 에너지 흐름과 물질 순환,먹이 사슬의 에너지 효율. 탄소·질소·인의 생지화학적 순환.,생명,,,
,"에필로그
 우리의 미래 — 138억 년의 다음 장",E-1) 지구 에너지 수지와 온실효과,지구 에너지 수지와 온실효과,태양 복사와 지구 복사의 균형. 온실가스가 에너지 수지를 바꾸는 원리 — 열역학으로 보는 기후변화.,지구환경,,,
,,E-2) IPCC 미래 시나리오,IPCC 미래 시나리오,1.5°C·2°C·4°C의 차이. 티핑 포인트 — 돌이킬 수 없는 임계점.,지구환경,,,
,,E-3) 탄소 순환의 위기,탄소 순환의 위기,인간이 개입한 탄소 순환. 탄소 포집·저장 기술의 가능성과 한계.,지구환경,,,
,,E-4) 에너지 전환의 물리학,A. 재생에너지의 원리와 한계,태양광·풍력·수소 — 물리가 허용하는 것과 허용하지 않는 것.,물리,,,
,,,B. 핵융합 — 별의 불을 땅으로,인류가 별의 원리를 지구에서 재현하려는 시도. ITER와 그 너머.,물리,,,
,,E-5) 과학기술의 미래와 인류의 선택,과학기술의 미래와 인류의 선택,"양자컴퓨팅·합성생물학·우주 기술이 여는 다음 세기. 가능성을 여는 것은 과학, 방향을 결정하는 것은 우리.",물리,,,
