분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
,,,4,중-상,순서배열,다음 문장은 별에서 핵융합이 시작되기까지의 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,"중심부 온도가 약 1,000만 도에 다가서며 수소 원자핵들이 빠르게 충돌한다",수소와 헬륨으로 이루어진 거대한 가스 구름이 중력에 이끌려 뭉친다,수소 원자핵의 빠른 충돌에 양자 터널 효과가 더해져 핵융합이 시작된다,가스 구름이 뭉칠수록 중심부의 압력과 온도가 함께 올라간다,,,-,별은 중력에 눌려 뭉치는 동안 스스로 중심부를 뜨겁게 만들어요. 온도가 충분히 올라가야 원자핵이 융합할 만큼 빠르게 충돌할 수 있죠. 중력이 가스를 짓눌렀던 붕괴의 끝에서 별이 켜지는 거예요.
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,정역학적 평형,,,,,,,,"별의 각 층에서 뜨거운 플라스마의 압력은 바깥으로 밀어내고, 중력은 안쪽으로 끌어당긴다. 이 두 힘이 서로 균형을 이루어 별이 폭발하지도 꺼지지도 않는 상태를 ____ __(이)라고 한다.",별 안에서 바깥으로 미는 압력과 안쪽으로 당기는 중력이 팽팽하게 맞서요. 이 균형이 각 층에서 유지되기 때문에 태양은 46억 년 동안 안정적으로 빛날 수 있었어요.
,,,6,중,사지선다 (복수),태양 중심부에서 생성된 에너지가 표면까지 이동하는 과정으로 옳은 것을 모두 고르세요.,1,2,빛이 내부의 빽빽한 입자들과 부딪히며 방향을 바꾼다,표면에 도달하기까지 수만 년에서 수십만 년이 걸릴 수 있다,중심부에서 생성된 에너지가 곧장 우주로 빠져나간다,태양 내부가 거의 비어 있어 빛이 방해 없이 나아간다,,,-,태양 내부는 입자가 매우 빽빽해서 빛이 곧장 나아가지 못해요. 방향을 계속 바꾸며 조금씩 이동하기 때문에 표면에 닿기까지 수만 년이 넘게 걸릴 수 있어요.
,,,7,중-상,순서배열,다음 문장은 별의 핵융합 반응이 활발해졌을 때 일어나는 변화를 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-라-가-나,,중심부의 온도가 내려가면 핵융합 반응이 느려진다,핵융합 반응이 느려지면 중력이 별을 수축시켜 중심부 온도를 높인다,핵융합 반응이 활발해지면 별의 내부가 팽창한다,별의 내부가 팽창하면 중심부의 온도가 내려간다,,,-,반응이 지나치게 활발해지면 별은 스스로 팽창해 중심부 온도를 낮춰요. 반대로 반응이 약해지면 중력이 별을 수축시켜 온도를 다시 올려요. 별은 이렇게 스스로 균형을 되찾는 조절 장치를 지니고 있어요.
화학,3-2) 원소의 지도 — 주기율표,C. 전이 금속,1,하,인라인,전이 금속의 특징을 설명한 문장입니다. 빈칸에 알맞은 말을 고르세요.,2,1,s/d/f,촉매/용매/전해질,,,,,전이 금속은 주기율표의 가운데에 자리하며 [1] 오비탈에 전자가 들어 있다. 이 원소들은 화학 반응의 진행을 돕는 [2](으)로 자주 쓰인다.,전이 금속을 다른 원소와 구별해 주는 특징은 d 오비탈에 전자가 들어 있다는 점이에요. 전이 금속은 산소를 실어 나르는 일부터 화학 반응을 가속하는 일까지 폭넓게 관여해요. 반응의 진행을 돕는 이런 역할을 촉매라고 불러요.
,,,2,하,OX,전이 금속 화합물이 색을 띠는 것은 d 오비탈의 전자가 흡수한 빛이 그대로 우리 눈에 도달하기 때문이다.,X,,O,X,,,,,-,우리 눈에 도달하는 것은 흡수된 빛이 아니라 흡수되지 않고 남은 빛이에요. 부분적으로 채워진 d 오비탈의 전자가 가시광선 중 특정 파장을 흡수하며 다른 에너지 준위로 이동해요. 그래서 남은 빛의 색이 화합물의 색으로 보여요.
,,,3,중,사지선다 (단수),"같은 전이 금속이 +2, +3, +4처럼 여러 산화 상태를 오갈 수 있는 까닭은 무엇인가요?",1,,d 오비탈의 전자가 화학 결합에 참여하기도 하고 빠지기도 하기 때문이다,원자핵 속 양성자의 수가 반응 조건에 따라 달라지기 때문이다,s 오비탈이 비어 있어 전자가 들어갈 자리가 남아 있기 때문이다,비금속처럼 정해진 결합 방식을 그대로 지키기 때문이다,,,-,"전이 금속의 유연함은 d 오비탈에서 나와요. d 오비탈의 전자는 화학 결합에 참여하기도 하고 빠지기도 해서, 같은 금속이 여러 산화 상태를 오갈 수 있어요. 반응 조건에 맞춰 상태를 바꿀 수 있으니 촉매로 쓰기에 유리해요."
,,,4,중-상,순서배열,다음 문장은 인류가 전이 금속을 다루어 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-가-다,,르네상스 시대의 화가들이 아주라이트 같은 구리 화합물로 그림의 푸른빛을 냈다,메소포타미아 일대에서 구리와 주석의 합금인 청동을 다루는 기술이 등장했다,"현대의 자동차에 백금과 팔라듐, 로듐이 들어 있는 배기가스 저감 장치가 쓰였다",철광석에서 불순물을 걸러 철을 얻는 기술이 퍼지며 철기 시대가 열렸다,,,-,"청동기 시대는 약 5,300년 전, 철기 시대는 약 3,200년 전에 시작됐어요. 르네상스 시대의 푸른 안료와 현대의 배기가스 저감 장치는 그보다 훨씬 뒤의 일이에요. 인류 문명의 시대 구분은 그 시대 사람들이 어떤 금속을 다룰 수 있었는가라는 질문과 맞닿아 있어요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,니트로게나제,,,,,,,,"콩과식물의 뿌리에는 공기 중의 질소를 고정하는 효소가 있고, 그 중심에 몰리브데넘이 자리한다. 이 질소고정 효소의 이름은 ______이다.",콩과식물의 뿌리에서 질소를 고정하는 효소가 니트로게나제예요. 그 중심에 자리한 몰리브데넘이 까다로운 질소고정 반응을 맡아요. 전이 금속은 이렇게 다른 원소만으로는 수행하기 어려운 반응을 담당해요.
,,,6,중,사지선다 (복수),전이 금속이 생체 분자에서 맡은 자리를 옳게 설명한 것을 모두 고르세요.,1,3,비타민 B12의 중심에는 코발트가 자리해 생명 활동을 뒷받침한다,광합성에서 물을 분해하는 광계 Ⅱ에는 아연 4개가 중심이 된 클러스터가 있다,세포호흡의 마지막 단계를 맡은 사이토크롬 c 산화효소에는 구리와 철이 나란히 자리한다,알코올 분해부터 DNA 복제까지 수백 가지 효소의 활성부위에는 망가니즈가 자리한다,,,-,"비타민 B12의 중심에는 코발트가, 사이토크롬 c 산화효소의 활성부위에는 구리와 철이 나란히 자리해요. 광계 Ⅱ에서 물을 분해하는 클러스터의 중심은 망가니즈 4개예요. 수백 가지 효소의 활성부위에 자리하는 것은 아연 이온이에요."
,,,7,중-상,순서배열,다음 문장은 금속이 잘 깨지지 않는 이유를 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-라-가-나,,결정면이 서로 미끄러져도 금속 결합이 쉽게 끊어지지 않는다,망치로 두드려도 깨지지 않고 원하는 모양으로 변형할 수 있다,전이 금속의 금속 결합에는 s 전자뿐 아니라 일부 d 전자도 기여한다,금속 결합에 기여하는 전자가 금속 결정 전체에 걸쳐 퍼져 있다,,,-,전이 금속의 금속 결합에는 s 전자뿐 아니라 일부 d 전자도 기여해요. 이 전자들이 금속 결정 전체에 퍼져 있어서 결정면이 미끄러져도 결합이 쉽게 끊어지지 않아요. 금속을 두드려 원하는 모양으로 만들 수 있는 것도 이 때문이에요.
지구환경,6-4) 대기와 날씨,B. 대기의 순환,1,하,인라인,기온이 달라지면 공기의 밀도와 기압도 함께 변합니다. 빈칸에 알맞은 말을 고르세요.,2,1,저기압/고기압/용승,바람/제트류/전향력,,,,,기온이 낮아져 공기가 수축하면 밀도가 높아지면서 [1]이 발달한다. 기압이 서로 다른 두 지역 사이에서 공기가 이동하는 흐름을 [2](이)라고 한다.,"기온이 낮아지면 공기가 수축해 밀도와 기압이 높아지고, 이런 곳이 고기압이에요. 반대로 기온이 높아져 공기가 팽창하면 저기압이 되죠. 공기가 고기압에서 저기압 쪽으로 이동하는 흐름이 바로 바람이에요."
,,,2,하,OX,제트류는 남북 간의 온도 차이가 클수록 강해진다.,O,,O,X,,,,,-,제트류는 남북 간 온도 차이를 동력으로 삼는 강한 편서풍의 띠예요. 온도 차가 클수록 더 빠르게 흘러 최대 풍속이 시속 400킬로미터를 넘기도 해요. 그래서 북극이 따뜻해져 온도 차가 줄면 제트류가 달라질 수 있다는 논의가 이어지고 있어요.
,,,3,중,사지선다 (단수),"태풍은 북반구에서 반시계 방향으로, 남반구에서 시계 방향으로 회전합니다. 이러한 차이가 나타나는 까닭으로 알맞은 것을 고르세요.",4,,대륙과 해양의 가열 속도 차이가 반구마다 다르기 때문이다.,해들리 순환의 상승 기류가 반구마다 반대로 나타나기 때문이다.,남북 간 온도 차이가 커져 제트류가 반구마다 다르게 흐르기 때문이다.,지구 자전에 따른 전향력이 반구마다 반대로 작용하기 때문이다.,,,-,"전향력은 북반구에서 오른쪽, 남반구에서 왼쪽으로 공기를 휘게 해요. 그래서 저기압으로 모여드는 바람의 회전 방향이 반구마다 반대가 되죠. 태풍의 회전 방향도 같은 이유로 갈려요."
,,,4,중-상,순서배열,다음 문장은 위도 30도 부근에 큰 사막이 자리하는 이유를 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,나-라-가-다,,북위 약 30도 부근에서 공기가 하강하며 아열대 고압대가 형성된다.,적도 지방은 태양 복사 에너지를 많이 받아 공기가 뜨거워진다.,아열대 고압대 아래의 지표는 강수량이 적어 사막이 자리한다.,뜨거워진 적도 부근의 공기가 상승해 고위도 쪽으로 이동한다.,,,-,"적도에서 데워진 공기가 상승해 고위도로 이동하다가 위도 30도 부근에서 하강해요. 공기가 하강하는 이 위도대에 아열대 고압대가 형성되고, 그 아래 지표는 강수량이 적어요. 사하라와 아라비아, 오스트레일리아 중부의 사막이 모두 이 위도대에 자리해요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,계절풍,,,,,,,,아시아 남부에서 여름마다 바다에서 육지로 습한 공기가 불어와 많은 비를 뿌린다. 이처럼 계절에 따라 부는 방향이 바뀌는 바람을 ___(이)라고 한다.,"계절풍은 대륙과 해양이 데워지고 식는 속도가 달라서 생겨요. 여름에는 대륙이 빨리 뜨거워져 기압이 낮아지고, 바다에서 육지로 습한 공기가 들어오죠. 이 비가 아시아 남부 수십억 인구의 농업을 뒷받침해요."
,,,6,중,사지선다 (복수),지구 규모의 대기 순환에 대한 설명으로 옳은 것을 모두 고르세요.,2,3,지구의 대기 순환은 대류권을 벗어난 높은 곳에서만 일어난다.,적도와 극지방이 받는 태양 복사 에너지의 불균형이 순환을 일으킨다.,대류권에서 공기가 수평과 수직으로 순환하며 열을 재분배한다.,적도와 극지방의 기온 차이가 사라져야 대기 순환이 시작된다.,,,-,"적도는 태양 복사 에너지를 많이 받고 극지방은 적게 받아요. 이 불균형이 지구 규모의 대기 순환을 일으키고, 공기는 대류권 전체에서 수평과 수직으로 움직이며 열을 재분배해요. 기온 차이가 이어지는 한 순환도 계속돼요."
,,,7,중-상,순서배열,다음 문장은 엘니뇨가 진행되는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-나-라-가,,"전 세계 강수 패턴이 바뀌어 페루에 폭우가, 호주에 가뭄이 나타난다.",엘니뇨가 발생하면 서쪽으로 불던 무역풍이 약해지거나 방향이 뒤집힌다.,평상시 태평양에서 무역풍이 서쪽으로 불어 따뜻한 해수를 서태평양으로 옮긴다.,동태평양의 용승이 약해지고 따뜻한 해수가 동태평양으로 퍼진다.,,,-,"평상시에는 무역풍이 따뜻한 물을 서태평양으로 밀어 주고, 동태평양에서는 찬물이 올라와요. 엘니뇨 때는 이 무역풍이 약해져 따뜻한 물이 동쪽으로 퍼지죠. 바다가 달라지면 대기의 강수 패턴도 함께 달라져요."
생명,7-1) 생명의 화학,C. 생명과 물,1,하,인라인,다음은 물의 온도가 천천히 변하는 까닭을 설명한 것입니다. 빈칸에 들어갈 알맞은 말을 고르세요.,2,1,밀도/비열/점성,완충/증폭/차단,,,,,"물을 데울 때는 분자의 운동 에너지를 키우는 것에 더해 수소 결합도 일부 끊어야 한다. 그래서 물은 온도를 바꾸는 데 많은 에너지가 필요한데, 이런 성질을 [1](이)가 크다고 표현한다. 지구 표면의 70퍼센트를 덮은 물은 이 성질 덕분에 거대한 온도 [2] 장치가 된다.",물은 데우거나 식힐 때 수소 결합을 끊고 잇는 데에도 에너지를 써요. 그래서 비열이 커서 온도가 천천히 변해요. 바다가 급격한 온도 변화를 완충하는 것도 같은 이유예요.
,,,2,하,OX,"우리 혈액에서 탄산수소 이온과 탄산이 짝을 이루어, 산이 들어오면 흡수하고 염기가 들어오면 중화한다.",O,,O,X,,,,,-,혈액의 pH가 좁은 범위에서 유지되는 것은 완충 작용 덕분이에요. 탄산수소 이온과 탄산이 짝을 이루어 산과 염기의 변화를 받아 줘요. 이 완충 작용도 물이라는 수용액 환경에서 일어나요.
,,,3,중,사지선다 (단수),물이 얼 때 부피가 줄어 얼음이 가라앉는다고 가정해 봅시다. 이때 예상되는 결과로 알맞은 것은 무엇인가요?,3,,호수 표면만 얼고 아래쪽 물은 얼지 않은 채 그대로 남는다,물이 얼지 않게 되어 호수의 온도가 늘 일정하게 유지된다,호수가 깊은 곳까지 통째로 얼어 생물이 자리 잡기 어려워진다,바위 틈의 얼음이 커지면서 토양이 더 빠르게 만들어진다,,,-,물은 얼면 부피가 늘고 밀도가 낮아져 얼음이 위로 떠요. 덕분에 겨울 호수는 표면부터 얼고 아래쪽 물은 얼지 않은 채 남아요. 얼음이 가라앉는다면 깊은 곳까지 얼어붙어 생명이 자리 잡기 어려웠을 거예요.
,,,4,중-상,순서배열,다음 문장은 물 분자에서 수소 결합이 생기기까지의 과정을 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,다-가-라-나,,물 분자는 두 수소가 약 104.5도로 벌어진 굽은 구조라서 두 결합의 극성이 상쇄되지 않는다,한 물 분자의 수소 쪽이 이웃한 물 분자의 산소 쪽에 끌리는 수소 결합이 생긴다,"산소가 수소보다 전자를 강하게 잡아당겨 산소 쪽은 음전하를, 수소 쪽은 양전하를 띤다",물 분자는 한 분자 안에 음과 양이 함께 존재하는 극성 분자가 된다,,,-,산소가 전자를 강하게 잡아당기면서 분자 안에 부분 전하가 생겨요. 물 분자가 굽어 있어 이 전하가 상쇄되지 않고 분자 전체가 극성을 띠어요. 그 극성이 이웃 분자를 끌어당기면서 수소 결합이 생겨요.
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,응집력,,,,,,,,나무의 물관 속에서 물 분자들이 수소 결합으로 이어져 하나의 물기둥을 이룬다. 이때 물 분자끼리 서로를 끌어당기는 힘을 ___이라고 한다.,물 분자끼리 수소 결합으로 서로를 끌어당기는 힘이 응집력이에요. 이 힘 덕분에 물기둥이 끊어지지 않고 이어져요. 물관 벽에 들러붙는 부착력과 함께 큰 나무의 꼭대기까지 물을 올려 보내요.
,,,6,중,사지선다 (복수),물 분자 사이의 수소 결합에 대한 설명으로 옳은 것을 모두 고르세요.,2,4,한번 맺어진 수소 결합은 좀처럼 끊어지지 않고 그대로 유지된다,원자를 직접 이어 주는 공유 결합보다 훨씬 약한 인력이다,이웃한 두 물 분자의 산소끼리 전자를 함께 쓰면서 생긴다,한 물 분자는 평균적으로 여러 이웃 분자와 수소 결합을 맺는다,,,-,수소 결합은 공유 결합보다 훨씬 약한 인력이에요. 그래서 매우 짧은 시간 안에 끊어지고 다시 생겨요. 대신 한 분자가 여러 이웃과 결합을 맺어 물 전체가 촘촘하게 이어져요.
,,,7,중-상,순서배열,다음 문장은 세포 안에서 수많은 반응이 일어날 수 있는 이유를 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,가-다-라-나,,"물 분자의 음(−) 쪽이 양이온을, 양(+) 쪽이 음이온을 둘러싼다",세포 안에서 매 순간 수천 가지 화학 반응이 진행된다,서로 붙어 있던 이온들이 떨어져 나와 물속에 흩어진다,세포 안의 수많은 물질이 물속을 떠다니며 서로 만난다,,,-,물 분자의 음(−) 쪽과 양(+) 쪽이 이온을 각각 둘러싸 떼어 내요. 떨어져 나온 물질들은 물속을 떠다니며 서로 만날 수 있어요. 그래서 세포 안에서 매 순간 수천 가지 반응이 진행돼요.
