분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
,,,4,중-상,순서배열,다음 문장은 우리 몸에서 전기적 신호가 하는 일을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-라-가-다,,심장 근육이 전기적 신호에 맞춰 규칙적으로 수축한다.,세포막 안팎에 나트륨 이온과 칼륨 이온의 농도 차이가 유지된다.,규칙적으로 수축하는 심장의 전기적 리듬을 심전도 검사로 기록한다.,이온이 세포막을 가로질러 이동하면서 전기적 신호가 생성된다.,,,-,"세포막 안팎에 이온의 농도 차이가 있어야 이온이 한쪽으로 이동하면서 전기적 신호가 생겨요. 그 신호에 맞춰 심장 근육이 규칙적으로 수축하고, 그 전기적 리듬을 심전도 검사가 기록하죠. 전류의 언어는 금속 전선 밖 생명체 안에서도 쓰이고 있어요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,트랜지스터,,,,,,,,"반도체에 전기장을 가하면 그 안을 흐르는 전류의 세기를 바꿀 수 있다. 작은 전기적 신호로 더 큰 전류를 켜고, 끄고, 조절하는 장치를 _____(이)라고 한다.","트랜지스터는 작은 전기적 신호로 더 큰 전류의 흐름을 켜고 끄고 조절하는 장치예요. 두 종류의 반도체를 맞붙인 다이오드가 전류를 한 방향으로만 흘린다면, 트랜지스터는 흐름의 크기까지 다루죠. 덕분에 전류를 흘리는 기술이 계산하는 기술로 넓어졌어요."
,,,6,중,사지선다 (복수),직렬 회로와 병렬 회로에 대한 설명으로 옳은 것을 모두 고르세요.,1,4,직렬 회로에서는 같은 전류가 모든 구간을 지나간다.,직렬 회로에서는 각 구간에 전압이 나뉘지 않고 그대로 걸린다.,병렬 회로에서는 갈래마다 서로 다른 전압이 걸린다.,병렬 회로에서는 한 기기가 꺼져도 다른 기기가 계속 작동한다.,,,-,"직렬 회로에서는 같은 전류가 모든 구간을 지나가고 전압이 나뉘어요. 병렬 회로에서는 각 갈래에 같은 전압이 걸리고 전류가 갈라지죠. 가정의 콘센트가 병렬이라서 기기마다 220볼트를 받고, 하나가 꺼져도 다른 기기가 계속 작동해요."
,,,7,중-상,순서배열,다음 문장은 전등 스위치를 켠 뒤 백열전구에서 일어나는 일을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,다-가-라-나,,전선 속에 가득 차 있던 전자들이 아주 느리게 자리를 옮기며 흐름을 이룬다.,온도가 높이 오른 필라멘트가 밝은 빛을 낸다.,스위치를 켜면 전기장의 변화가 전선 전체로 빠르게 퍼진다.,저항이 큰 필라멘트에 전류가 흐르며 전기 에너지의 일부가 열로 바뀐다.,,,-,"스위치를 켜면 전기장의 변화가 전선 전체로 빠르게 퍼지고, 그 전기장을 따라 전자들이 아주 느리게 자리를 옮기며 흐름을 이뤄요. 저항이 큰 필라멘트에서는 전기 에너지의 일부가 열로 바뀌죠. 그 열로 필라멘트가 달아올라 빛을 내는 것이 백열전구예요."
물리,5-2) 자기,A. 자기력과 자기장,1,하,인라인,다음은 막대자석을 잘랐을 때 나타나는 현상입니다. 빈칸에 알맞은 말을 고르세요.,2,3,양전하와 음전하/N극과 S극/전류와 전압,자기력선/전기력선/자기 홀극,,,,,막대자석을 반으로 자르면 한쪽 극만 남지 않고 더 작은 막대자석 두 개가 생긴다. 자석에서 [1]은(는) 언제나 함께 나타난다. 한쪽 극만 따로 떨어져 존재하는 [2]은(는) 자연에서 아직 발견되지 않았다.,"자석은 아무리 작게 잘라도 N극과 S극이 늘 함께 나타나요. 전기에서는 양전하와 음전하가 따로 존재하지만, 한쪽 극만 떨어져 있는 자기 홀극은 아직 발견되지 않았죠. 자기 홀극이 있는지는 물리학에 남아 있는 흥미로운 질문이에요."
,,,2,하,OX,자기장 속에서 움직이는 전하가 받는 로런츠 힘은 전하가 이동하는 방향과 나란하게 작용한다.,X,,O,X,,,,,-,로런츠 힘의 방향은 전하가 이동하는 방향과 자기장 방향 모두에 수직이에요. 이동 방향과 나란하지 않기 때문에 입자는 곧장 나아가지 못해요. 그래서 자기장과 나란하지 않게 움직이는 입자는 원운동이나 나선 운동을 하게 되죠.
,,,3,중,사지선다 (단수),"철, 코발트, 니켈 같은 물질이 강한 자성을 띨 수 있는 까닭으로 가장 적절한 것은 무엇인가요?",4,,원자핵 속 양성자의 수가 다른 물질보다 많기 때문이다.,전자가 원자핵 주위를 도는 속도가 유난히 빠르기 때문이다.,원자 사이의 거리가 멀어 원자가 자유롭게 회전하기 때문이다.,물질 속 많은 전자의 스핀이 같은 방향으로 정렬되기 때문이다.,,,-,"전자 스핀은 전자가 작은 자석처럼 행동하게 하는 양자 역학적 성질이에요. 많은 전자의 스핀이 같은 방향으로 정렬되면 물질 전체에 강한 자성이 나타나요. 철, 코발트, 니켈 같은 강자성 물질이 자석이 될 수 있는 까닭이죠."
,,,4,중-상,순서배열,다음 문장은 지구 자기장이 생겨나고 유지되는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-라-가-다,,전류가 행성 전체를 감싸는 자기장을 만들고 유지한다.,"지구 외핵에서 고온, 고압 상태의 액체 철과 니켈이 흐른다.",나침반 바늘이 지구 자기장의 방향을 따라 북쪽을 가리킨다.,금속 유체가 지구 자전의 영향을 받아 움직이면서 전류가 생성된다.,,,-,지구 외핵에 흐르는 액체 금속이 자전의 영향을 받아 움직이면서 전류가 생겨요. 이 전류가 행성 전체를 감싸는 자기장을 만들고 유지한다는 설명이 지구 다이너모 이론이에요. 나침반 바늘은 그렇게 유지되는 지구 자기장을 따라 방향을 잡죠.
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,지자기 역전,,,,,,,,"지구 자기장의 N극과 S극은 수십만 년 단위로 서로 뒤바뀐다. 이러한 현상을 ___ __(이)라고 하며, 그 흔적은 해저의 현무암 속에 남아 있다.",지구 자기장은 고정되어 있지 않고 수십만 년 단위로 두 극이 뒤집혀요. 새로 만들어진 현무암이 굳으면서 당시의 방향을 기록하기 때문에 그 흔적이 해저에 남죠. 대서양 중앙 해령 양쪽의 줄무늬 기록은 판 구조론의 결정적인 증거가 되었어요.
,,,6,중,사지선다 (복수),자기장 안에서 움직이는 전하가 받는 힘을 직접 이용한 장치를 모두 고르세요.,2,3,자성 물질의 자화 방향을 바꾸어 0과 1의 정보를 저장하는 하드 디스크,자기장 안의 전류 도선이 받는 힘으로 회전하는 전기 모터,전류가 흐르는 코일이 자기장 안에서 흔들리며 소리를 내는 스피커,수소 원자핵의 스핀과 공명 신호로 몸속을 영상으로 보여 주는 MRI,,,-,전기 모터와 스피커는 자기장 안의 전류가 받는 힘을 그대로 이용해요. 하드 디스크는 자기장으로 자성 물질의 자화 방향을 바꾸어 정보를 저장하는 장치예요. MRI는 강한 자기장 속 수소 원자핵의 스핀과 공명 신호를 이용하니 작동 원리가 다르죠.
,,,7,중-상,순서배열,다음 문장은 오로라가 나타나는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,다-라-나-가,,대기로 들어온 입자가 공기 분자와 충돌해 빛을 낸다.,태양풍 입자 일부가 극지방의 자기력선을 따라 대기로 들어온다.,태양에서 전하를 띤 입자의 흐름인 태양풍이 지구를 향해 날아온다.,지구를 감싸는 자기장이 태양풍의 상당 부분을 우주 공간으로 흘려보낸다.,,,-,태양에서 날아온 태양풍은 지구 자기장을 만나 상당 부분이 우주 공간으로 흘러가요. 그래도 일부 입자는 극지방의 자기력선을 따라 대기로 들어오죠. 들어온 입자가 공기 분자와 충돌하면서 내는 빛이 바로 오로라예요.
물리,5-2) 자기,B. 앙페르 법칙,1,하,인라인,다음은 전류가 흐르는 도선 주위에 생기는 자기장을 설명한 것입니다. 빈칸에 알맞은 말을 고르세요.,2,1,직선/동심원/나선,엄지/검지/손바닥,,,,,"전류가 흐르는 도선 둘레에는 도선을 중심으로 [1] 모양의 자기장이 생긴다. 오른손 [2]를 전류가 흐르는 방향으로 향하게 하면, 나머지 네 손가락이 감기는 쪽이 자기장의 방향이다.","전류가 흐르는 도선 둘레에는 도선을 중심으로 동심원 모양의 자기장이 생겨요. 오른손 엄지를 전류가 흐르는 방향으로 향하면, 나머지 네 손가락이 감기는 쪽이 자기장의 방향이에요. 전류는 앞으로 흐르지만 자기장은 그 둘레를 둥글게 감싸는 셈이랍니다."
,,,2,하,OX,전류가 흐르는 도선이 만드는 자기장은 도선에서 멀어질수록 더 강해진다.,X,,O,X,,,,,-,도선에서 멀어질수록 자기장의 영향은 오히려 약해져요. 자기장이 더 강해지려면 도선에 흐르는 전류가 세져야 한답니다.
,,,3,중,사지선다 (단수),앙드레마리 앙페르는 나란히 놓인 두 도선에 각각 전류를 흘려보냈습니다. 이 실험에서 확인된 내용으로 옳은 것은 무엇인가요?,4,,전류의 방향과 관계없이 두 도선이 늘 서로 밀어낸다,전류의 방향과 관계없이 두 도선 사이에 힘이 작용하지 않는다,전류의 방향이 서로 반대일 때 두 도선이 서로 끌어당긴다,전류의 방향이 서로 같을 때 두 도선이 서로 끌어당긴다,,,-,"같은 방향으로 전류가 흐르면 두 도선은 서로 끌어당기고, 반대 방향이면 서로 밀어내요. 각 도선이 만든 자기장이 맞은편 도선에 힘을 전달하기 때문이에요. 앙드레마리 앙페르는 이 힘의 크기가 전류의 세기와 도선 사이의 거리에 따라 달라진다는 것까지 수학적 관계로 정리했어요."
,,,4,중-상,순서배열,다음 문장은 금속 재활용장의 크레인이 전자석으로 고철을 옮기는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-라-다-가,,코일로 흐르던 전류가 끊겨 고철이 바닥으로 내려온다,크레인에 달린 코일에 전류가 흐른다,고철이 전자석의 자기력에 끌려 위로 들어 올려진다,코일 둘레에 강한 자기장이 생겨 전자석이 된다,,,-,"코일에 전류가 흐르면 그 둘레에 자기장이 생겨 전자석이 돼요. 이 자기력이 고철을 끌어당겨 들어 올리고, 전류를 끊으면 자기력이 사라져 고철이 내려와요. 전자석은 영구 자석과 달리 전류로 자기력을 켜고 끌 수 있답니다."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,솔레노이드,,,,,,,,도선을 원통형으로 여러 번 감으면 고리마다 생긴 자기장이 겹쳐 훨씬 강한 자기장이 생긴다. 이렇게 감아 만든 코일을 _____(이)라고 한다.,"도선을 원통형으로 감아 만든 코일을 솔레노이드라고 불러요. 긴 솔레노이드 안쪽에는 비교적 고르고 강한 자기장이 생기고, 여기에 철심을 넣으면 세기가 더 커져 전자석이 된답니다."
,,,6,중,사지선다 (복수),앙페르 법칙이 전기와 자기에 대해 밝힌 내용으로 옳은 것을 모두 고르세요.,2,3,자기장은 자석 주위에만 생기고 전류로는 만들 수 없다,전류가 흐르는 도선의 영향은 도선 바깥 공간까지 퍼진다,전기와 자기는 서로 이어진 하나의 관계로 설명된다,전류가 흐르는 동안 도선 안의 전기는 자기로 모두 바뀐다,,,-,"전류는 전선을 따라 흐르는 데서 끝나지 않고 주변 공간에 자기장을 함께 만들어요. 앙페르 법칙은 이렇게 전기와 자기를 하나의 관계로 묶어 주었어요. 전기가 자기로 바뀌는 것이 아니라, 전류가 흐르는 동안 그 둘레의 공간이 함께 달라지는 거예요."
,,,7,중-상,순서배열,다음 문장은 전동기가 회전 운동을 만드는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,다-가-라-나,,자기장 속의 도선이 전류 방향과 자기장 방향 모두에 수직인 힘을 받는다,전동기의 회전이 세탁기와 엘리베이터를 움직인다,전동기 안에 놓인 도선에 전류가 흐른다,수직으로 작용하는 힘이 도선을 한 방향으로 돌린다,,,-,자기장 속에 놓인 도선에 전류가 흐르면 도선은 힘을 받아요. 이 힘이 전류의 방향과 자기장의 방향 모두에 수직으로 작용하기 때문에 회전 운동이 생겨요. 세탁기와 엘리베이터의 전동기가 모두 이 원리로 돌아간답니다.
물리,5-3) 전자기 유도,A. 전자기 유도,1,하,인라인,자석과 코일로 전류를 만드는 상황입니다. 빈칸에 들어갈 말을 고르세요.,1,2,자기 선속/자기력/전류의 세기,정전기 유도/전자기 유도/전자기파,,,,,"아무리 강한 자석이라도 코일 안에 가만히 두면 검류계의 바늘은 움직이지 않는다. 코일을 통과하는 자기장의 양, 즉 [1]이(가) 변할 때 비로소 전압이 유도되는데, 이를 [2](이)라고 한다.",코일을 통과하는 자기장의 양을 자기 선속이라고 불러요. 이 자기 선속이 변할 때 전압이 유도되는 현상이 전자기 유도예요. 강한 자석을 가만히 두어도 아무 일이 일어나지 않는 이유가 여기에 있어요.
,,,2,하,OX,"인덕션 레인지는 표면이 먼저 뜨거워지고, 그 열이 위에 놓인 냄비로 전달되어 냄비를 데운다.",X,,O,X,,,,,-,"인덕션 레인지는 코일에 교류를 흘려 변하는 자기장을 만들고, 그 자기장이 냄비 바닥에 유도 전류를 일으켜요. 그래서 냄비 자체가 발열체가 되어 레인지 표면보다 먼저 뜨거워져요."
,,,3,중,사지선다 (단수),교통카드를 단말기에 대면 카드 속 칩이 작동합니다. 칩을 움직이는 전력은 어디에서 오나요?,4,,카드 안에 들어 있는 소형 배터리에서 온다.,단말기와 카드가 맞닿을 때 흐르는 전류에서 온다.,세기가 일정하게 유지되는 단말기의 자기장에서 온다.,시간에 따라 변하는 단말기의 자기장에서 온다.,,,-,교통카드는 단말기가 만드는 변하는 자기장에서 전력을 얻어요. 자기장이 아무리 강해도 변하지 않으면 전류는 유도되지 않아요. 전선도 배터리도 없이 카드가 작동하는 것은 전자기 유도 덕분이에요.
,,,4,중-상,순서배열,다음 문장은 코일 속으로 자석을 밀어 넣을 때 일어나는 일을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-라-가-다,,자석을 계속 밀어 넣는 손이 막는 힘을 이겨 내며 일을 한다.,코일 속으로 다가오는 자석 때문에 코일을 지나는 자기 선속이 커진다.,손이 한 일이 회로 안에서 전기 에너지로 바뀐다.,코일에 유도 전류가 흐르면서 자석의 움직임을 막는 자기장이 생긴다.,,,-,"유도 전류는 자기 선속의 변화를 방해하는 방향으로 흘러요. 그래서 자석을 밀어 넣으려면 손이 그 힘을 이겨 내며 일을 해야 해요. 손이 한 일이 전기 에너지로 바뀌니, 에너지가 공짜로 생겨나지 않는다는 사실을 렌츠 법칙이 보여 주는 거예요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,회생 제동,,,,,,,,전기 자동차는 속도를 줄일 때 운동 에너지를 전기 에너지로 바꾸어 배터리에 저장한다. 열로만 흩어질 에너지를 이렇게 되찾는 방식을 __ __(이)라고 한다.,회생 제동은 발전기와 전동기가 서로 뒤바뀔 수 있다는 원리를 이용해요. 열로 흩어질 운동 에너지가 전기 에너지로 바뀌어 배터리에 다시 저장되죠.
,,,6,중,사지선다 (복수),코일에 전압이 유도되는 경우를 모두 고르세요.,2,3,세기가 일정한 강한 자석을 코일 안에 가만히 놓아둔다.,자석은 그대로 둔 채 코일만 자석 쪽으로 빠르게 움직인다.,코일 주위 회로에 흐르는 전류의 크기를 시간에 따라 변화시킨다.,코일과 자석을 나란히 옮겨 둘 사이 거리를 일정하게 유지한다.,,,-,"전자기 유도의 핵심은 자기장의 세기가 아니라 코일을 지나는 자기장의 양이 변하는 것이에요. 자석이 움직여도, 코일이 움직여도, 주변 전류가 변해도 됩니다. 코일과 자석이 나란히 움직여 거리가 그대로라면 변화가 없어 전압도 유도되지 않아요."
,,,7,중-상,순서배열,다음 문장은 발전소에서 만든 전기가 가정까지 전달되는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,다-가-라-나,,터빈의 회전이 코일과 자기장 사이의 상대적 운동을 만들어 전류를 유도한다.,도시에 도착한 전류가 냉장고를 켜고 스마트폰을 충전한다.,석탄을 태우거나 강물을 흘려보내 얻은 에너지가 터빈을 회전시킨다.,유도된 전류가 전선을 타고 도시까지 이동한다.,,,-,발전소마다 쓰는 에너지원은 달라도 마지막 단계는 비슷해요. 터빈의 회전이 코일과 자기장 사이의 상대적 운동을 만들어 전류를 유도하죠. 마이클 패러데이가 실험실에서 움직인 작은 자석 하나가 거대한 전력망의 출발점이 된 거예요.
물리,5-3) 전자기 유도,B. 발전기와 변압기,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,5-4) 전자기파와 빛,A. 맥스웰 방정식과 전자기파,1,하,인라인,다음 설명을 읽고 빈칸에 들어갈 말을 고르세요.,2,3,음파/전자기파/지진파,적외선/자외선/가시광선,,,,,"변화하는 자기장은 전기장을 만들고, 변화하는 전기장은 다시 자기장을 만든다. 두 장이 서로를 유도하며 공간으로 퍼져 나가는 파동을 [1](이)라고 하는데, 그중 사람의 눈이 볼 수 있는 좁은 영역을 [2](이)라고 한다.",전기장과 자기장이 서로를 유도하며 나아가는 파동이 전자기파예요. 사람의 눈은 그 넓은 범위 가운데 가시광선이라는 좁은 영역만 볼 수 있어요. 음파와 지진파는 물질을 통해 전달되는 다른 종류의 파동이에요.
,,,2,하,OX,"전자기파는 전기장과 자기장이 서로를 유도하며 나아가지만, 공간을 건너려면 전하나 전선 같은 매개가 반드시 있어야 한다.",X,,O,X,,,,,-,"전자기파가 퍼져 나가는 데에는 전하도, 전선도, 물질도 필요 없어요. 전기장과 자기장이 서로를 유도하기 때문에 진공 속에서도 파동이 이어져요. 먼 우주에서 온 빛이 우리에게 닿는 것도 이 덕분이에요."
,,,3,중,사지선다 (단수),제임스 클러크 맥스웰은 앙페르 법칙에 아직 빠진 것이 있다고 보고 한 가지를 보탰습니다. 그가 보탠 내용은 무엇인가요?,4,,전하가 전기장을 만든다,변화하는 자기장이 전기장을 만든다,자기 홀극은 아직 발견되지 않았다,변화하는 전기장도 자기장을 만든다,,,-,"앙페르 법칙은 전류가 자기장을 만든다고 설명했어요. 제임스 클러크 맥스웰은 여기에 변화하는 전기장도 자기장을 만든다는 내용을 보탰죠. 전류가 흐르지 않는 빈 공간에서도 자기장이 생길 수 있다는 뜻이라, 전기와 자기의 관계를 완성하는 결정적인 한 조각이 되었어요."
,,,4,중-상,순서배열,다음 문장은 하인리히 헤르츠가 전자기파를 실제로 만들어 검출한 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-가-라-나,,생성된 전자기파가 전하도 전선도 없는 빈 공간으로 퍼져 나간다,수신 장치가 도달한 파동을 검출한다,헤르츠가 전기 불꽃을 이용해 전자기파를 만든다,퍼져 나간 파동이 멀리 떨어진 곳에 놓인 수신 장치에 도달한다,,,-,"하인리히 헤르츠는 전기 불꽃으로 전자기파를 만들었어요. 그 파동은 전선 없이 빈 공간을 건너 멀리 떨어진 수신 장치까지 갔고, 장치가 그 파동을 검출했죠. 1887년의 이 실험으로 종이 위 방정식 속에 있던 파동이 실험실 안에서 확인되었어요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,전자기 스펙트럼,,,,,,,,"전파와 적외선, 자외선, 엑스선, 감마선은 이름이 다르지만 모두 같은 종류의 파동이다. 차이는 파장과 진동수, 에너지에 있다. 파장에 따라 이렇게 여러 이름으로 나뉘는 파동 전체의 영역을 ___ ____(이)라고 한다.","이름이 달라도 모두 같은 종류의 파동이고, 다른 것은 파장과 진동수, 에너지뿐이에요. 전자기 스펙트럼은 하나의 파동이 파장에 따라 얼마나 다른 모습으로 나타나는지를 보여 줘요. 사람의 눈이 보는 영역은 그중 아주 좁은 틈에 지나지 않아요."
,,,6,중,사지선다 (복수),여러 파장의 전자기파에 대한 설명으로 옳은 것을 모두 고르세요.,2,4,적외선은 가시광선보다 파장이 짧다,엑스선은 몸속을 들여다보는 데 쓰인다,감마선은 여러 파장 가운데 파장이 가장 길다,"마이크로파는 통신과 레이더, 전자레인지에 이용된다",,,-,"가시광선보다 파장이 길어지면 적외선, 더 길어지면 마이크로파를 포함한 전파의 영역이에요. 반대로 짧아지는 쪽으로 자외선과 엑스선, 감마선이 이어지죠. 엑스선은 몸속을 들여다보게 해 주고, 마이크로파는 통신과 레이더, 전자레인지에 쓰여요."
,,,7,중-상,순서배열,다음 문장은 우주에서 온 전자기파가 우리에게 정보를 전하는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,망원경이 전파에서 감마선까지 여러 파장의 빛을 관측한다,별과 블랙홀 주변의 뜨거운 가스가 여러 파장의 전자기파를 내보낸다,관측된 파동이 신호가 되어 우주의 정보를 전한다,우주 공간을 건너온 전자기파가 지구의 안테나와 망원경에 도착한다,,,-,"천체가 내보낸 전자기파는 우주 공간을 건너 안테나와 망원경에 닿아요. 전파 망원경은 차가운 가스의 분포를, 엑스선 망원경은 블랙홀 주변의 뜨거운 가스를 포착하죠. 파장마다 우주의 서로 다른 모습이 신호로 기록돼요."
