분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-2) 원소의 지도 — 주기율표,A. 원소의 주기적 성질,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-2) 원소의 지도 — 주기율표,B. 비금속,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-2) 원소의 지도 — 주기율표,C. 전이 금속,1,하,인라인,전이 금속의 특징을 설명한 문장입니다. 빈칸에 알맞은 말을 고르세요.,2,1,s/d/f,촉매/용매/전해질,,,,,전이 금속은 주기율표의 가운데에 자리하며 [1] 오비탈에 전자가 들어 있다. 이 원소들은 화학 반응의 진행을 돕는 [2](으)로 자주 쓰인다.,전이 금속을 다른 원소와 구별해 주는 특징은 d 오비탈에 전자가 들어 있다는 점이에요. 전이 금속은 산소를 실어 나르는 일부터 화학 반응을 가속하는 일까지 폭넓게 관여해요. 반응의 진행을 돕는 이런 역할을 촉매라고 불러요.
,,,2,하,OX,전이 금속 가운데 철까지는 큰 별의 일생 후반에 일어나는 핵융합 반응으로 생성되었다.,O,,O,X,,,,,-,"철까지는 큰 별이 일생 후반에 일으키는 핵융합 반응으로 생성돼요. 철보다 무거운 구리나 아연, 은, 금은 늙은 별의 느린 중성자 포획이나 초신성 폭발, 중성자별 충돌 같은 격렬한 사건을 거쳐 생성돼요. 우리 몸속 전이 금속은 모두 별이 남긴 원소예요."
,,,3,중,사지선다 (단수),"같은 전이 금속이 +2, +3, +4처럼 여러 산화 상태를 오갈 수 있는 까닭은 무엇인가요?",1,,d 오비탈의 전자가 화학 결합에 참여하기도 하고 빠지기도 하기 때문이다,원자핵 속 양성자의 수가 반응 조건에 따라 달라지기 때문이다,s 오비탈이 비어 있어 전자가 들어갈 자리가 남아 있기 때문이다,비금속처럼 정해진 결합 방식을 그대로 지키기 때문이다,,,-,"전이 금속의 유연함은 d 오비탈에서 나와요. d 오비탈의 전자는 화학 결합에 참여하기도 하고 빠지기도 해서, 같은 금속이 여러 산화 상태를 오갈 수 있어요. 반응 조건에 맞춰 상태를 바꿀 수 있으니 촉매로 쓰기에 유리해요."
,,,4,중-상,순서배열,다음 문장은 인류가 전이 금속을 다루어 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-가-다,,르네상스 시대의 화가들이 아주라이트 같은 구리 화합물로 그림의 푸른빛을 냈다,메소포타미아 일대에서 구리와 주석의 합금인 청동을 다루는 기술이 등장했다,"현대의 자동차에 백금과 팔라듐, 로듐이 들어 있는 배기가스 저감 장치가 쓰였다",철광석에서 불순물을 걸러 철을 얻는 기술이 퍼지며 철기 시대가 열렸다,,,-,"청동기 시대는 약 5,300년 전, 철기 시대는 약 3,200년 전에 시작됐어요. 르네상스 시대의 푸른 안료와 현대의 배기가스 저감 장치는 그보다 훨씬 뒤의 일이에요. 인류 문명의 시대 구분은 그 시대 사람들이 어떤 금속을 다룰 수 있었는가라는 질문과 맞닿아 있어요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,금속 결합,,,,,,,,전이 금속에서 원자들 사이를 자유롭게 이동하는 전자에는 s 전자뿐 아니라 일부 d 전자도 포함된다. 이 전자들은 금속 결정 전체에 걸쳐 퍼져 있다. 전자가 이렇게 퍼져 있는 금속에서 나타나는 결합을 __ __(이)라고 한다.,자유롭게 움직이는 전자가 결정 전체에 퍼져 원자들을 붙들고 있는 결합이 금속 결합이에요. 전이 금속에서는 s 전자뿐 아니라 일부 d 전자도 여기에 기여해요. 그래서 결정면이 미끄러져도 결합이 쉽게 끊어지지 않아요.
,,,6,중,사지선다 (복수),전이 금속이 생체 분자에서 맡은 자리를 옳게 설명한 것을 모두 고르세요.,1,3,비타민 B12의 중심에는 코발트가 자리해 생명 활동을 뒷받침한다,광합성에서 물을 분해하는 광계 Ⅱ에는 아연 4개가 중심이 된 클러스터가 있다,세포호흡의 마지막 단계를 맡은 사이토크롬 c 산화효소에는 구리와 철이 나란히 자리한다,알코올 분해부터 DNA 복제까지 수백 가지 효소의 활성부위에는 망가니즈가 자리한다,,,-,"비타민 B12의 중심에는 코발트가, 사이토크롬 c 산화효소의 활성부위에는 구리와 철이 나란히 자리해요. 광계 Ⅱ에서 물을 분해하는 클러스터의 중심은 망가니즈 4개예요. 수백 가지 효소의 활성부위에 자리하는 것은 아연 이온이에요."
,,,7,중-상,순서배열,다음 문장은 금속이 잘 깨지지 않는 이유를 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-라-가-나,,결정면이 서로 미끄러져도 금속 결합이 쉽게 끊어지지 않는다,망치로 두드려도 깨지지 않고 원하는 모양으로 변형할 수 있다,전이 금속의 금속 결합에는 s 전자뿐 아니라 일부 d 전자도 기여한다,금속 결합에 기여하는 전자가 금속 결정 전체에 걸쳐 퍼져 있다,,,-,전이 금속의 금속 결합에는 s 전자뿐 아니라 일부 d 전자도 기여해요. 이 전자들이 금속 결정 전체에 퍼져 있어서 결정면이 미끄러져도 결합이 쉽게 끊어지지 않아요. 금속을 두드려 원하는 모양으로 만들 수 있는 것도 이 때문이에요.
화학,3-3) 원자의 결합 — 분자의 탄생,A. 분자,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-3) 원자의 결합 — 분자의 탄생,B. 결합 법칙,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-3) 원자의 결합 — 분자의 탄생,C. 결합의 극성,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-3) 원자의 결합 — 분자의 탄생,D. 결합 구조,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-4) 물질의 상태와 분류,A. 물질의 분류,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-4) 물질의 상태와 분류,B. 물질의 상태,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,3-5) 물질의 집합,응집 물질 물리,1,하,인라인,다음은 탄소로 이루어진 물질들에 대한 설명입니다. 빈칸에 알맞은 말을 고르세요.,2,1,도체/절연체/반도체,배열/질량/원자 번호,,,,,탄소 원자가 층층이 쌓인 흑연은 층을 따라 전기가 잘 통한다. 반면 같은 탄소 원자가 정사면체 구조로 빽빽하게 결합한 다이아몬드는 자연에서 손꼽히게 단단한 [1](이)다. 원자의 종류가 같아도 [2]이(가) 달라지면 물질의 성질은 전혀 달라진다.,"같은 탄소라도 층층이 쌓이면 흑연, 정사면체로 결합하면 다이아몬드가 돼요. 흑연은 층을 따라 전기가 잘 통하지만 다이아몬드는 전기가 거의 통하지 않는 절연체예요. 한 층짜리 배열인 그래핀은 또 강철보다 강하면서 전기도 잘 전달하죠."
,,,2,하,OX,"원자 하나의 성질을 모두 알면, 그 원자들이 모였을 때 나타나는 초전도성도 예측할 수 있다.",X,,O,X,,,,,-,금속의 전도성이나 초전도성은 원자 하나에는 없던 성질이에요. 원자들이 함께 모여 집단으로 움직일 때 비로소 나타나죠. 그래서 원자 하나의 성질 목록만으로는 이런 집단적 성질을 알 수 없어요.
,,,3,중,사지선다 (단수),순수한 규소에 인이나 붕소 같은 불순물을 아주 조금 섞는 까닭으로 가장 알맞은 것은 무엇인가요?,4,,규소 원자를 다른 종류의 원자로 모두 바꾸기 위해서,규소의 띠 간격을 절연체 수준으로 넓히기 위해서,규소를 냉각해 초전도 상태로 만들기 위해서,규소의 전도성을 필요에 맞게 조절하기 위해서,,,-,순수한 규소는 띠 간격이 약 1.1전자볼트라 전기를 잘 전달하지 못해요. 여기에 인이나 붕소를 아주 조금 섞으면 전도성이 크게 달라지죠. 이 정교한 조절 가능성에서 트랜지스터가 탄생했어요.
,,,4,중-상,순서배열,다음 문장은 원자들이 모였을 때 물질의 전기적 성질이 정해지는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-라-가-다,,에너지 준위들이 모여 거의 연속적인 에너지띠를 이룬다,수많은 원자가 서로 가까운 거리로 모여든다,가전자 띠와 전도띠 사이의 띠 간격이 전기적 성질을 좌우한다,각 원자의 에너지 준위들이 서로 영향을 주고받는다,,,-,"원자가 하나일 때는 에너지 준위가 띄엄띄엄 떨어져 있어요. 원자들이 가까워지면 준위끼리 영향을 주고받아 거의 연속적인 에너지띠가 생기죠. 이때 만들어진 띠 간격이 좁거나 겹치면 구리처럼 전기가 잘 흐르고, 다이아몬드처럼 약 5.5전자볼트로 넓으면 절연체가 돼요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,상전이,,,,,,,,"물이 얼음이 되거나 금속이 초전도 상태로 들어설 때는 수많은 원자와 전자가 집단적으로 새로운 질서를 만들어 낸다. 각각의 원자는 그대로인 것처럼 보이지만, 집합이 다른 방식으로 정렬되는 순간 물질 전체의 성질은 달라진다. 이러한 변화를 ___(이)라고 한다.","물이 얼음이 되는 것도, 쇳덩이가 자석이 되는 것도, 금속이 초전도 상태가 되는 것도 모두 상전이예요. 원자 하나하나는 그대로인데 집합의 정렬 방식이 바뀌면서 물질 전체의 성질이 달라지죠. 원자들의 집단적 거동이 가장 극적으로 드러나는 순간이에요."
,,,6,중,사지선다 (복수),초전도체에 대한 설명으로 옳은 것을 모두 고르세요.,2,3,냉각 없이 상온에서 저항이 사라지는 물질이 이미 널리 쓰이고 있다,극저온에서 전자들이 짝을 이루어 저항 없이 집단적으로 흐른다,내부의 자기장을 밀어내는 마이스너 효과를 함께 보인다,저항이 0이 되어도 자기장은 물질 내부를 그대로 통과한다,,,-,초전도체는 저항이 0이 되는 것에 더해 내부의 자기장을 밀어내요. 이 마이스너 효과 때문에 위에 놓인 자석이 떠오르죠. BCS 이론은 극저온에서 전자들이 쿠퍼쌍이라는 짝을 이뤄 저항 없이 흐른다고 설명해요.
,,,7,중-상,순서배열,다음 문장은 쇳덩이의 자성이 온도에 따라 달라지는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,다-가-라-나,,쇳덩이 안의 전자 스핀들이 이웃과 같은 방향으로 정렬된다,온도가 높아진 열운동이 스핀 정렬을 흐트러뜨려 쇳덩이가 자성을 잃는다,쇳덩이의 온도가 특정 값 아래로 내려간다,평범한 금속 조각이 자석의 성질을 띤다,,,-,"쇳덩이 안 전자들은 저마다 스핀을 가지고 있어요. 온도가 충분히 낮으면 이 스핀들이 이웃과 같은 방향으로 줄을 맞추고, 그때 평범한 금속 조각이 자석이 되죠. 온도를 올리면 열운동이 줄을 흐트러뜨려 자성이 사라져요."
화학,3-6) 화학식량과 측정,A. 반응식,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,3-6) 화학식량과 측정,B. 화학식량,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
