분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
,,,3,중,사지선다 (단수),기상 예보는 먼 미래를 예측할수록 어려워집니다. 그 까닭으로 가장 알맞은 것은 무엇인가요?,4,,대기의 밀도가 높이에 따라 일정하게 줄어들기 때문이다.,공기의 점성이 물보다 커서 흐름이 천천히 전달되기 때문이다.,대기를 이루는 기체의 종류가 계절마다 크게 달라지기 때문이다.,대기가 난류적이어서 처음 조건의 작은 차이에도 민감하기 때문이다.,,,-,난류는 유체 역학에서 아직 완전히 풀리지 않은 문제예요. 공기가 뒤섞이고 소용돌이가 생기는 순간부터 흐름을 예측하기 어려워지죠. 대기는 이런 난류적 성질을 지녀서 처음 조건이 조금만 달라져도 결과가 크게 벌어져요.
,,,4,중-상,순서배열,다음 문장은 강이 구불구불한 모양을 이루게 되는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-라-가-다,,침식이 이어지면서 강의 굽이가 점점 더 크게 벌어진다.,강물이 곡선 구간을 돌면서 바깥쪽에서 더 빠르게 흐른다.,굽이침이 거듭 쌓여 강 전체가 구불구불한 모양을 이룬다.,바깥쪽의 빠른 물살이 강기슭의 땅을 더 세게 깎아 낸다.,,,-,"강이 굽이지는 것은 흐름이 땅의 모양을 바꾼 결과예요. 곡선 구간에서는 바깥쪽 물살이 더 빨라서 그쪽 땅이 더 많이 깎여요. 이 침식이 오랜 시간 쌓이면서 굽이가 커지고, 강은 점점 더 구불구불해진답니다."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,레이놀즈수,,,,,,,,"유체가 가지런히 층을 이루며 흐를지, 소용돌이치며 뒤섞일지는 속도와 흐름의 규모, 점성의 조합에 따라 달라진다. 이 조합을 하나의 값으로 나타낸 것을 _____(이)라고 한다.","레이놀즈수는 속도와 흐름의 규모, 점성을 한데 묶어 나타낸 값이에요. 이 값이 작으면 층류에, 크면 난류에 가까워져요. 같은 물이라도 조건이 달라지면 흐름의 모습이 완전히 달라진답니다."
,,,6,중,사지선다 (복수),혈관의 한 구간이 좁아졌을 때 그 부위와 주변에서 나타날 수 있는 변화를 모두 고르세요.,1,3,좁아진 부위를 지나는 혈류의 속도가 빨라진다.,혈액이 받는 저항이 줄어들어 압력 손실이 작아진다.,좁아진 곳을 지난 뒤 흐름이 불규칙해지고 소용돌이가 생긴다.,심장이 박동해도 혈압파가 혈관을 따라 전파되지 않는다.,,,-,혈관이 좁아지면 그 구간에서 속도는 빨라질 수 있지만 저항과 압력 손실은 오히려 커져요. 좁은 구간을 빠져나온 흐름은 불규칙해지면서 소용돌이가 생기기도 하죠. 심혈관 질환 연구에 유체 역학이 핵심 도구로 쓰이는 이유가 여기에 있어요.
,,,7,중-상,순서배열,다음 문장은 적도의 공기가 거대한 순환을 이루는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,다-라-가-나,,밀도가 작아진 공기가 부력을 받아 위로 올라간다.,상승한 공기가 고위도 쪽으로 이동하며 거대한 순환을 이룬다.,적도 부근의 공기는 고위도보다 태양열을 많이 받아 따뜻해진다.,따뜻해진 공기는 주변 공기보다 밀도가 작아진다.,,,-,"대기와 해류는 모두 같은 유체 역학의 법칙 위에서 움직여요. 태양열을 불균등하게 받으면 공기와 바닷물의 밀도가 달라지고, 그 차이가 부력과 압력 차를 만들어요. 이 힘이 지구 규모의 거대한 순환을 일으킨답니다."
물리,4-3) 파동 — 에너지의 전달,파동과 진동,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,4-4) 열과 엔트로피,A. 열평형과 에너지 보존,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,4-4) 열과 엔트로피,B. 엔트로피,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-4) 열과 엔트로피,C. 화학 반응과 에너지,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-5) 화학 반응의 법칙,A. 반응 속도,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-5) 화학 반응의 법칙,B. 반응 메커니즘,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-5) 화학 반응의 법칙,C. 촉매,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-6) 반응의 방향성,A. 화학 반응의 자발성,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-6) 반응의 방향성,B. 평형의 개념,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-6) 반응의 방향성,C. 평형 상수,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-7) 산·염기와 산화·환원,A. 산-염기 반응,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-7) 산·염기와 산화·환원,B. 산화-환원 반응,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
